Set	TimePoint	Median	SD	N	SE	nSamples	nGenes
SCHEMA EWS	Early prenatal	9.59837	2.07672071111438	171	0.158810801994834	19	9
SCHEMA EWS	Early mid-prenatal	9.69634	1.89467464302816	243	0.121543435019896	27	9
SCHEMA EWS	Late mid-prenatal	9.62477	1.40522672809148	135	0.120942660345419	15	9
SCHEMA EWS	Late prenatal	9.08765	0.989050463914478	9	0.329683487971493	1	9
SCHEMA EWS	Early infancy	9.40159	0.720878343463006	36	0.120146390577168	4	9
SCHEMA EWS	Late infancy	9.186215	0.883151909179459	72	0.104080450633107	8	9
SCHEMA EWS	Early childhood	8.850655	0.717530201945618	108	0.0690443758741648	12	9
SCHEMA EWS	Late childhood	8.68309	0.860075837475145	36	0.143345972912524	4	9
SCHEMA EWS	Adolescence	9.10529	0.83663806534108	108	0.08050553537316	12	9
SCHEMA EWS	Adulthood	9.135225	0.940761353091176	216	0.0640107023556572	24	9
SCHEMA 5% FDR	Early prenatal	8.71583	2.35931192109586	589	0.0972137541274564	19	31
SCHEMA 5% FDR	Early mid-prenatal	9.1395	2.32372306119815	837	0.0803196188797864	27	31
SCHEMA 5% FDR	Late mid-prenatal	9.06075	2.14943271064312	465	0.0996775551744424	15	31
SCHEMA 5% FDR	Late prenatal	8.37043	2.18644829407686	31	0.392697706223601	1	31
SCHEMA 5% FDR	Early infancy	8.991555	2.08586525673676	124	0.187316229711681	4	31
SCHEMA 5% FDR	Late infancy	9.01512	2.1685723503103	248	0.137704481949255	8	31
SCHEMA 5% FDR	Early childhood	8.42072	1.94815635894158	372	0.101007201900216	12	31
SCHEMA 5% FDR	Late childhood	8.4249	2.04495597105786	124	0.183642467406652	4	31
SCHEMA 5% FDR	Adolescence	8.911785	2.07207327302508	372	0.107431994603449	12	31
SCHEMA 5% FDR	Adulthood	8.69922	2.05636538737749	744	0.0753900128721693	24	31
SCHEMA 25% FDR	Early prenatal	8.37664	2.29896108218479	931	0.0753454062584694	19	49
SCHEMA 25% FDR	Early mid-prenatal	8.62524	2.286074545985	1323	0.0628507502148568	27	49
SCHEMA 25% FDR	Late mid-prenatal	8.84665	2.15246782480957	735	0.079394971797474	15	49
SCHEMA 25% FDR	Late prenatal	8.1159	2.16973836232791	49	0.309962623189701	1	49
SCHEMA 25% FDR	Early infancy	8.903385	2.00002897447958	196	0.142859212462827	4	49
SCHEMA 25% FDR	Late infancy	8.622915	2.08467921741778	392	0.105292200802484	8	49
SCHEMA 25% FDR	Early childhood	8.21197	1.8391952554521	588	0.0758471339876822	12	49
SCHEMA 25% FDR	Late childhood	8.11268	1.92285013130111	196	0.137346437950079	4	49
SCHEMA 25% FDR	Adolescence	8.721995	1.9543024638708	588	0.0805940752566966	12	49
SCHEMA 25% FDR	Adulthood	8.439015	1.93715195728526	1176	0.0564884982093165	24	49
SCHEMA 50% FDR	Early prenatal	8.326975	2.32627045911246	2014	0.0518358796159642	19	106
SCHEMA 50% FDR	Early mid-prenatal	8.42751	2.2870344740295	2862	0.0427501749494762	27	106
SCHEMA 50% FDR	Late mid-prenatal	8.49289	2.19216486234952	1590	0.0549761914375765	15	106
SCHEMA 50% FDR	Late prenatal	8.259995	2.18505007224839	106	0.212230824371758	1	106
SCHEMA 50% FDR	Early infancy	8.580465	2.08623474905139	424	0.101316515865604	4	106
SCHEMA 50% FDR	Late infancy	8.46709	2.12113937631543	848	0.0728402252361145	8	106
SCHEMA 50% FDR	Early childhood	8.10012	1.90417778311448	1272	0.0533904938605661	12	106
SCHEMA 50% FDR	Late childhood	8.09776	1.94911091142309	424	0.0946571936215766	4	106
SCHEMA 50% FDR	Adolescence	8.287405	2.04807891542751	1272	0.0574252812577392	12	106
SCHEMA 50% FDR	Adulthood	8.24763	2.02948553449943	2544	0.0402371680331702	24	106
Set 1	Early prenatal	7.00945	2.11501281091713	6441	0.026353381722298	19	339
Set 1	Early mid-prenatal	7.02073	2.0731729907464	9153	0.0216697455129374	27	339
Set 1	Late mid-prenatal	7.00089	2.00772641976365	5085	0.0281552284349389	15	339
Set 1	Late prenatal	7.03691	1.99881768071812	339	0.108560874549915	1	339
Set 1	Early infancy	6.966055	2.05506571004688	1356	0.055807924077417	4	339
Set 1	Late infancy	7.00262	2.09205740515344	2712	0.0401724903050243	8	339
Set 1	Early childhood	6.99118	1.93478961785171	4068	0.0303349494907505	12	339
Set 1	Late childhood	7.058155	2.0362040708711	1356	0.0552957122673755	4	339
Set 1	Adolescence	7.014565	2.05851089176866	4068	0.0322747358946951	12	339
Set 1	Adulthood	6.89005	2.04747255434778	8136	0.0226993080649663	24	339
Set 2	Early prenatal	7.31063	2.40094841648944	665	0.0931047861335128	19	35
Set 2	Early mid-prenatal	7.82716	2.32417927838657	945	0.0756055575774307	27	35
Set 2	Late mid-prenatal	7.988	2.24148970776147	525	0.09782663100268	15	35
Set 2	Late prenatal	8.1886	2.24316700937913	35	0.379164428408682	1	35
Set 2	Early infancy	8.45293	2.09110515876402	140	0.176730642201416	4	35
Set 2	Late infancy	8.44488	2.12991631926624	280	0.127286846013761	8	35
Set 2	Early childhood	8.225205	1.92384918889023	420	0.0938742281889977	12	35
Set 2	Late childhood	8.281705	2.02067032955929	140	0.170777812643071	4	35
Set 2	Adolescence	8.487345	2.04029819366881	420	0.0995563578019076	12	35
Set 2	Adulthood	8.567685	2.06665625419781	840	0.0713064152010694	24	35
Set 3	Early prenatal	6.89067	2.57138172847918	209	0.177866193371	19	11
Set 3	Early mid-prenatal	7.74222	2.50807293710209	297	0.145533152618885	27	11
Set 3	Late mid-prenatal	8.45165	2.28088146761056	165	0.177566381429241	15	11
Set 3	Late prenatal	8.53955	2.31276622011156	11	0.697325252719867	1	11
Set 3	Early infancy	9.513925	1.95477535898704	44	0.294693473417831	4	11
Set 3	Late infancy	9.633035	2.04628323992831	88	0.218134526309597	8	11
Set 3	Early childhood	8.83755	1.95495434697702	132	0.170156935111081	12	11
Set 3	Late childhood	8.949145	2.09163683278022	44	0.315326116909969	4	11
Set 3	Adolescence	9.4955	2.05602253048125	132	0.178953791349139	12	11
Set 3	Adulthood	9.510375	2.13213699750135	264	0.131223960997319	24	11
Set Random	Early prenatal	6.50365	2.16922967558084	6441	0.0270289321127702	19	339
Set Random	Early mid-prenatal	6.54793	2.1553098898789	9153	0.0225282776804737	27	339
Set Random	Late mid-prenatal	6.49177	2.07939041473856	5085	0.0291602040776444	15	339
Set Random	Late prenatal	6.39159	2.05337352201278	339	0.11152394111666	1	339
Set Random	Early infancy	6.50457	2.02718331098949	1356	0.0550507420554098	4	339
Set Random	Late infancy	6.3375	2.08681830979349	2712	0.0400718871824541	8	339
Set Random	Early childhood	6.36899	1.87300467192962	4068	0.0293662430244027	12	339
Set Random	Late childhood	6.34085	2.00035371041865	1356	0.0543221501158116	4	339
Set Random	Adolescence	6.386285	2.00728360050856	4068	0.031471559529376	12	339
Set Random	Adulthood	6.36792	2.01882232254485	8136	0.0223816772198318	24	339
PPI Index	Early prenatal	7.246925	2.65614956117409	114	0.24877119924346	19	6
PPI Index	Early mid-prenatal	8.562135	2.42631031951764	162	0.190628942243758	27	6
PPI Index	Late mid-prenatal	9.0551	2.22582311592157	90	0.234622357165505	15	6
PPI Index	Late prenatal	9.17586	2.61976814590655	6	1.06951586697803	1	6
PPI Index	Early infancy	9.789675	2.2939518234782	24	0.468250955170718	4	6
PPI Index	Late infancy	9.918235	2.33258649793445	48	0.336679860622635	8	6
PPI Index	Early childhood	9.235675	2.11532836393089	72	0.249293838428629	12	6
PPI Index	Late childhood	9.572195	2.33907281880901	24	0.477461239774634	4	6
PPI Index	Adolescence	9.653985	2.35435744659992	72	0.277463685971308	12	6
PPI Index	Adulthood	9.615865	2.42657569803427	144	0.202214641502856	24	6
PPI Network	Early prenatal	8.87455	2.18193710791731	20919	0.0150859188898208	19	1101
PPI Network	Early mid-prenatal	8.94816	2.15572002652765	29727	0.0125030743792491	27	1101
PPI Network	Late mid-prenatal	8.83414	2.12792366347723	16515	0.0165583384450535	15	1101
